Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;gross margin percentage;gross income;Rating
765-26-6951;A;Yangon;Normal;Male;Sports and travel;$72.61;0.56;0.05;457443.0;01/01/2019;10:39:00;Credit card;4.761.904.762;0.05;0.48
329-62-1586;A;Yangon;Normal;Male;Food and beverages;$54.67;0.22;0.18;1722105.0;21/01/2019;18:00:00;Credit card;4.761.904.762;0.18;0.77
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;$40.30;0.11;0.0;84.63;11/03/2019;15:30:00;Ewallet;4.761.904.762;0.0;0.07
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;$86.04;0.44;0.0;451.71;25/02/2019;11:24:00;Ewallet;4.761.904.762;0.0;0.13
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;$87.98;0.22;0.03;277137.0;05/03/2019;10:40:00;Ewallet;4.761.904.762;0.03;0.18
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;$33.20;0.11;0.0;69.72;15/03/2019;12:20:00;Credit card;4.761.904.762;0.0;0.07
636-48-8204;A;Yangon;Normal;Male;Electronic accessories;$34.56;0.44;0.0;181.44;17/02/2019;11:15:00;Ewallet;4.761.904.762;0.0;0.98
549-59-1358;A;Yangon;Member;Male;Sports and travel;$88.63;0.22;0.3;2791845.0;02/03/2019;17:36:00;Ewallet;4.761.904.762;0.3;0.33
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;$52.59;0.78;0.05;441756.0;22/03/2019;19:20:00;Credit card;4.761.904.762;0.05;0.75
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;$33.52;0.0;0.0;35196.0;08/02/2019;15:31:00;Cash;4.761.904.762;0.0;0.45
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;$87.67;0.11;0.02;184107.0;10/03/2019;12:17:00;Credit card;4.761.904.762;0.02;0.62
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;$88.36;0.44;0.0;463.89;25/01/2019;19:48:00;Cash;4.761.904.762;0.0;0.93
848-62-7243;A;Yangon;Normal;Male;Health and beauty;$24.89;0.89;0.25;2352105.0;15/03/2019;15:36:00;Cash;4.761.904.762;0.25;0.57
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;$94.13;0.44;0.52;4941825.0;25/02/2019;19:39:00;Credit card;4.761.904.762;0.52;0.13
149-71-6266;B;Mandalay;Member;Male;Sports and travel;$78.07;0.89;0.78;7377615.0;28/01/2019;12:43:00;Cash;4.761.904.762;0.78;0.08
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;$83.78;0.78;0.07;703752.0;10/01/2019;14:49:00;Cash;4.761.904.762;0.07;0.18
595-11-5460;A;Yangon;Normal;Male;Health and beauty;$96.58;0.11;0.02;202818.0;15/03/2019;10:12:00;Credit card;4.761.904.762;0.02;0.18
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;$99.42;0.33;0.04;417564.0;06/02/2019;10:42:00;Ewallet;4.761.904.762;0.04;0.58
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;$68.12;0.0;0.01;71526.0;07/01/2019;12:28:00;Ewallet;4.761.904.762;0.01;0.47
129-29-8530;A;Yangon;Member;Male;Sports and travel;$62.62;0.44;0.03;328755.0;10/03/2019;19:15:00;Ewallet;4.761.904.762;0.03;0.5
272-65-1806;A;Yangon;Normal;Female;Electronic accessories;$60.88;0.89;0.06;575316.0;15/01/2019;17:17:00;Ewallet;4.761.904.762;0.06;0.12
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;$54.92;0.78;0.05;461328.0;23/03/2019;13:24:00;Ewallet;4.761.904.762;0.05;0.6
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;$30.12;0.78;0.03;253008.0;03/03/2019;13:01:00;Cash;4.761.904.762;0.03;0.62
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;$86.72;0.0;0.01;91056.0;17/01/2019;18:45:00;Ewallet;4.761.904.762;0.01;0.65
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;$56.11;0.11;0.01;117831.0;02/02/2019;10:11:00;Cash;4.761.904.762;0.01;0.38
354-25-5821;B;Mandalay;Member;Female;Sports and travel;$69.12;0.56;0.05;435456.0;08/02/2019;13:03:00;Cash;4.761.904.762;0.05;0.27
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;$98.70;0.78;0.0;829.08;04/03/2019;20:39:00;Cash;4.761.904.762;0.0;0.6
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;$15.37;0.11;0.0;32277.0;16/03/2019;19:47:00;Cash;4.761.904.762;0.0;0.53
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;$93.96;0.33;0.04;394632.0;09/03/2019;18:00:00;Cash;4.761.904.762;0.04;0.92
370-41-7321;B;Mandalay;Member;Male;Health and beauty;$56.69;0.89;0.57;5357205.0;27/02/2019;17:24:00;Credit card;4.761.904.762;0.57;0.73
727-46-3608;B;Mandalay;Member;Female;Food and beverages;$20.01;0.89;0.2;1890945.0;06/02/2019;15:47:00;Ewallet;4.761.904.762;0.2;0.02
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;$18.93;0.56;0.01;119259.0;10/02/2019;12:45:00;Credit card;4.761.904.762;0.01;0.68
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;$82.63;1.0;0.09;867615.0;19/03/2019;17:08:00;Ewallet;4.761.904.762;0.09;0.65
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;$91.40;0.67;0.0;671.79;03/02/2019;10:19:00;Cash;4.761.904.762;0.0;0.92
162-48-8011;A;Yangon;Member;Female;Food and beverages;$44.59;0.44;0.25;2340975.0;10/02/2019;15:10:00;Cash;4.761.904.762;0.25;0.75
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;$17.87;0.33;0.01;75054.0;22/03/2019;14:42:00;Ewallet;4.761.904.762;0.01;0.42
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;$15.43;0.0;0.0;162015.0;25/01/2019;15:46:00;Credit card;4.761.904.762;0.0;0.35
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;$16.16;0.11;0.0;33936.0;07/03/2019;11:49:00;Ewallet;4.761.904.762;0.0;0.42
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;$85.98;0.78;0.08;722232.0;28/02/2019;19:01:00;Cash;4.761.904.762;0.08;0.7
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;$44.34;0.11;0.01;93114.0;27/03/2019;11:26:00;Cash;4.761.904.762;0.01;0.3
635-40-6220;A;Yangon;Normal;Male;Health and beauty;$89.60;0.78;0.0;752.64;07/02/2019;11:28:00;Ewallet;4.761.904.762;0.0;0.43
817-48-8732;A;Yangon;Member;Female;Home and lifestyle;$72.35;1.0;0.08;759675.0;20/01/2019;15:55:00;Cash;4.761.904.762;0.08;0.23
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;$30.61;0.56;0.02;192843.0;12/03/2019;20:36:00;Cash;4.761.904.762;0.02;0.88
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;$24.74;0.22;0.01;77931.0;15/02/2019;17:47:00;Credit card;4.761.904.762;0.01;1.0
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;$55.73;0.56;0.04;351099.0;24/02/2019;10:55:00;Ewallet;4.761.904.762;0.04;0.5
347-34-2234;B;Mandalay;Member;Female;Sports and travel;$55.07;0.89;0.55;5204115.0;03/02/2019;13:40:00;Ewallet;4.761.904.762;0.55;1.0
199-75-8169;A;Yangon;Member;Male;Sports and travel;$15.81;1.0;0.02;166005.0;06/03/2019;12:27:00;Credit card;4.761.904.762;0.02;0.77
853-23-2453;B;Mandalay;Member;Male;Health and beauty;$75.74;0.33;0.03;318108.0;14/02/2019;14:35:00;Cash;4.761.904.762;0.03;0.6
877-22-3308;A;Yangon;Member;Male;Health and beauty;$15.87;1.0;0.02;166635.0;13/03/2019;16:40:00;Cash;4.761.904.762;0.02;0.3
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;$33.47;0.11;0.01;70287.0;10/02/2019;15:43:00;Ewallet;4.761.904.762;0.01;0.45
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;$97.61;0.56;0.07;614943.0;07/01/2019;15:01:00;Ewallet;4.761.904.762;0.07;0.98
232-11-3025;A;Yangon;Normal;Male;Sports and travel;$78.77;1.0;0.09;827085.0;24/01/2019;10:04:00;Cash;4.761.904.762;0.09;0.4
382-03-4532;A;Yangon;Member;Female;Health and beauty;$18.33;0.0;0.0;192465.0;02/02/2019;18:50:00;Cash;4.761.904.762;0.0;0.05
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;$89.48;1.0;0.0;939.54;06/01/2019;12:46:00;Credit card;4.761.904.762;0.0;0.93
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;$62.12;1.0;0.0;652.26;11/02/2019;16:19:00;Cash;4.761.904.762;0.0;0.32
510-95-6347;B;Mandalay;Member;Female;Food and beverages;$48.52;0.22;0.02;152838.0;05/03/2019;18:17:00;Ewallet;4.761.904.762;0.02;0.0
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;$75.91;0.56;0.05;478233.0;09/03/2019;18:21:00;Cash;4.761.904.762;0.05;0.78
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;$74.67;0.89;0.75;7056315.0;22/01/2019;10:55:00;Ewallet;4.761.904.762;0.75;0.9
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;$41.65;1.0;0.05;437325.0;13/01/2019;17:04:00;Credit card;4.761.904.762;0.05;0.23
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;$49.04;0.89;0.05;463428.0;09/01/2019;14:20:00;Credit card;4.761.904.762;0.05;0.77
381-20-0914;A;Yangon;Member;Female;Fashion accessories;$20.01;0.89;0.2;1890945.0;12/01/2019;15:48:00;Credit card;4.761.904.762;0.2;0.28
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;$78.31;1.0;0.09;822255.0;05/03/2019;16:24:00;Ewallet;4.761.904.762;0.09;0.43
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;$20.38;0.44;0.01;106995.0;22/01/2019;18:56:00;Cash;4.761.904.762;0.01;0.33
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;$99.19;0.56;0.07;624897.0;21/01/2019;14:42:00;Credit card;4.761.904.762;0.07;0.25
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;$96.68;0.22;0.03;304542.0;26/01/2019;19:56:00;Ewallet;4.761.904.762;0.03;0.4
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;$19.25;0.78;0.0;161.7;23/01/2019;18:37:00;Ewallet;4.761.904.762;0.0;0.43
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;$80.36;0.33;0.04;337512.0;23/02/2019;18:45:00;Credit card;4.761.904.762;0.04;0.72
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;$48.91;0.44;0.27;2567775.0;09/03/2019;10:17:00;Cash;4.761.904.762;0.27;0.43
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;$83.06;0.67;0.06;610491.0;05/03/2019;14:31:00;Ewallet;4.761.904.762;0.06;0.0
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;$76.52;0.44;0.0;401.73;25/03/2019;10:23:00;Cash;4.761.904.762;0.0;0.98
633-44-8566;A;Yangon;Member;Male;Food and beverages;$49.38;0.67;0.04;362943.0;27/03/2019;20:35:00;Credit card;4.761.904.762;0.04;0.55
504-35-8843;A;Yangon;Normal;Male;Sports and travel;$42.47;0.0;0.05;445935.0;02/01/2019;16:57:00;Cash;4.761.904.762;0.05;0.28
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;$76.99;0.56;0.05;485037.0;27/02/2019;17:55:00;Cash;4.761.904.762;0.05;0.35
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;$47.38;0.33;0.02;198996.0;23/01/2019;10:25:00;Cash;4.761.904.762;0.02;0.52
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;$44.86;1.0;0.0;471.03;26/01/2019;19:54:00;Ewallet;4.761.904.762;0.0;0.7
873-51-0671;A;Yangon;Member;Female;Sports and travel;$21.98;0.67;0.02;161553.0;10/01/2019;16:42:00;Ewallet;4.761.904.762;0.02;0.18
152-08-9985;B;Mandalay;Member;Male;Health and beauty;$64.36;0.89;0.06;608202.0;12/03/2019;12:09:00;Credit card;4.761.904.762;0.06;0.77
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;$89.75;0.0;0.1;942375.0;06/02/2019;20:05:00;Credit card;4.761.904.762;0.1;0.43
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;$97.16;0.0;0.01;102018.0;08/03/2019;20:38:00;Ewallet;4.761.904.762;0.01;0.53
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;$87.87;1.0;0.1;922635.0;29/03/2019;10:25:00;Ewallet;4.761.904.762;0.1;0.18
871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;$12.45;0.56;0.01;78435.0;09/02/2019;13:11:00;Cash;4.761.904.762;0.01;0.02
865-92-6136;A;Yangon;Normal;Male;Food and beverages;$52.75;0.22;0.18;1661625.0;23/03/2019;10:16:00;Ewallet;4.761.904.762;0.18;0.88
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;$82.70;0.56;0.0;521.01;05/03/2019;18:14:00;Cash;4.761.904.762;0.0;0.57
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;$48.71;0.0;0.05;511455.0;26/03/2019;19:20:00;Cash;4.761.904.762;0.05;0.02
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;$78.55;0.89;0.79;7422975.0;01/03/2019;13:22:00;Cash;4.761.904.762;0.79;0.53
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;$23.07;0.89;0.23;2180115.0;01/02/2019;11:27:00;Cash;4.761.904.762;0.23;0.15
212-62-1842;A;Yangon;Normal;Male;Food and beverages;$58.26;0.56;0.04;367038.0;28/03/2019;16:44:00;Cash;4.761.904.762;0.04;0.98
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;$30.35;0.67;0.24;2230725.0;19/03/2019;18:19:00;Cash;4.761.904.762;0.24;0.67
704-48-3927;A;Yangon;Member;Male;Electronic accessories;$88.67;1.0;0.1;931035.0;12/01/2019;14:50:00;Ewallet;4.761.904.762;0.1;0.55
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;$27.38;0.56;0.02;172494.0;05/01/2019;20:54:00;Credit card;4.761.904.762;0.02;0.65
630-74-5166;A;Yangon;Normal;Male;Sports and travel;$62.13;0.56;0.04;391419.0;22/03/2019;20:19:00;Cash;4.761.904.762;0.04;0.57
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;$33.98;0.89;0.03;321111.0;24/03/2019;10:43:00;Cash;4.761.904.762;0.03;0.03
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;$81.97;1.0;0.09;860685.0;03/03/2019;14:30:00;Cash;4.761.904.762;0.09;0.87
479-26-8945;B;Mandalay;Member;Female;Sports and travel;$16.49;0.11;0.0;34629.0;05/02/2019;11:32:00;Ewallet;4.761.904.762;0.0;0.1
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;$98.21;0.22;0.33;3093615.0;05/02/2019;10:41:00;Credit card;4.761.904.762;0.33;0.63
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;$72.84;0.67;0.06;535374.0;15/02/2019;12:44:00;Cash;4.761.904.762;0.06;0.73
645-44-1170;A;Yangon;Member;Male;Home and lifestyle;$58.07;0.89;0.58;5487615.0;19/01/2019;20:07:00;Ewallet;4.761.904.762;0.58;0.05
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;$80.79;0.89;0.81;7634655.0;01/02/2019;20:31:00;Credit card;4.761.904.762;0.81;0.92
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;$27.02;0.22;0.01;85113.0;02/03/2019;13:01:00;Credit card;4.761.904.762;0.01;0.52
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;$21.94;0.44;0.01;115185.0;05/03/2019;12:29:00;Ewallet;4.761.904.762;0.01;0.22
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;$51.36;0.0;0.01;53928.0;16/01/2019;15:26:00;Ewallet;4.761.904.762;0.01;0.2
642-32-2990;A;Yangon;Normal;Female;Food and beverages;$10.96;1.0;0.0;115.08;02/02/2019;20:48:00;Ewallet;4.761.904.762;0.0;0.33
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;$53.44;0.11;0.01;112224.0;20/01/2019;20:38:00;Ewallet;4.761.904.762;0.01;0.02
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;$99.56;0.78;0.09;836304.0;14/02/2019;17:03:00;Credit card;4.761.904.762;0.09;0.2
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;$57.12;0.67;0.04;419832.0;12/01/2019;12:02:00;Credit card;4.761.904.762;0.04;0.42
219-22-9386;B;Mandalay;Member;Male;Sports and travel;$99.96;0.89;0.1;944622.0;09/03/2019;17:26:00;Credit card;4.761.904.762;0.1;0.03
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;$63.91;0.78;0.06;536844.0;13/03/2019;19:52:00;Credit card;4.761.904.762;0.06;0.1
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;$56.47;0.78;0.05;474348.0;09/03/2019;14:57:00;Ewallet;4.761.904.762;0.05;0.55
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;$93.69;0.67;0.73;6886215.0;10/03/2019;18:44:00;Credit card;4.761.904.762;0.73;0.08
870-54-3162;A;Yangon;Normal;Female;Sports and travel;$32.25;0.44;0.18;1693125.0;27/01/2019;13:26:00;Cash;4.761.904.762;0.18;0.83
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;$31.73;0.89;0.32;2998485.0;08/01/2019;16:17:00;Credit card;4.761.904.762;0.32;0.32
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;$68.54;0.78;0.06;575736.0;08/01/2019;15:57:00;Ewallet;4.761.904.762;0.06;0.75
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;$90.28;0.89;0.09;853146.0;08/02/2019;11:15:00;Ewallet;4.761.904.762;0.09;0.53
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;$39.62;0.67;0.03;291207.0;25/01/2019;13:18:00;Cash;4.761.904.762;0.03;0.58
802-70-5316;A;Yangon;Member;Female;Sports and travel;$92.13;0.56;0.06;580419.0;06/03/2019;20:34:00;Cash;4.761.904.762;0.06;0.72
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;$34.84;0.33;0.02;146328.0;10/02/2019;18:36:00;Cash;4.761.904.762;0.02;0.57
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;$87.45;0.56;0.06;550935.0;17/02/2019;14:40:00;Credit card;4.761.904.762;0.06;0.8
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;$81.30;0.56;0.0;512.19;08/03/2019;16:43:00;Ewallet;4.761.904.762;0.0;0.22
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;$90.22;0.22;0.03;284193.0;18/02/2019;19:39:00;Cash;4.761.904.762;0.03;0.37
700-81-1757;A;Yangon;Normal;Female;Electronic accessories;$26.31;0.44;0.15;1381275.0;18/01/2019;20:59:00;Credit card;4.761.904.762;0.15;0.8
354-39-5160;A;Yangon;Member;Female;Home and lifestyle;$34.42;0.56;0.02;216846.0;18/02/2019;15:39:00;Cash;4.761.904.762;0.02;0.97
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;$51.91;1.0;0.06;545055.0;16/02/2019;12:21:00;Cash;4.761.904.762;0.06;0.7
575-30-8091;A;Yangon;Normal;Male;Sports and travel;$72.50;0.78;0.0;609.0;16/03/2019;19:25:00;Ewallet;4.761.904.762;0.0;0.87
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;$89.80;1.0;0.0;942.9;23/01/2019;13:00:00;Credit card;4.761.904.762;0.0;0.23
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;$90.50;1.0;0.0;950.25;25/01/2019;13:48:00;Cash;4.761.904.762;0.0;0.68
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;$68.60;1.0;0.0;720.3;05/02/2019;19:57:00;Cash;4.761.904.762;0.0;0.85
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;$30.41;0.0;0.03;319305.0;22/02/2019;10:36:00;Credit card;4.761.904.762;0.03;0.73
239-10-7476;A;Yangon;Normal;Female;Home and lifestyle;$77.95;0.56;0.05;491085.0;21/01/2019;16:37:00;Ewallet;4.761.904.762;0.05;0.67
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty;$46.26;0.56;0.03;291438.0;08/03/2019;17:11:00;Credit card;4.761.904.762;0.03;0.92
685-64-1609;A;Yangon;Member;Female;Fashion accessories;$30.14;1.0;0.0;316.47;10/02/2019;12:28:00;Ewallet;4.761.904.762;0.0;0.87
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;$66.14;0.33;0.03;277788.0;19/03/2019;12:46:00;Credit card;4.761.904.762;0.03;0.27
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;$71.86;0.78;0.06;603624.0;06/03/2019;15:07:00;Credit card;4.761.904.762;0.06;0.37
238-49-0436;A;Yangon;Normal;Male;Health and beauty;$32.46;0.78;0.03;272664.0;27/03/2019;13:48:00;Credit card;4.761.904.762;0.03;0.15
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;$91.54;0.33;0.04;384468.0;23/03/2019;19:20:00;Credit card;4.761.904.762;0.04;0.13
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;$34.56;0.67;0.03;254016.0;11/03/2019;16:07:00;Credit card;4.761.904.762;0.03;0.55
746-94-0204;A;Yangon;Normal;Male;Fashion accessories;$83.24;0.89;0.08;786618.0;29/01/2019;11:56:00;Credit card;4.761.904.762;0.08;0.57
214-17-6927;C;Naypyitaw;Normal;Female;Food and beverages;$16.48;0.56;0.01;103824.0;07/02/2019;18:23:00;Ewallet;4.761.904.762;0.01;0.98
400-89-4171;C;Naypyitaw;Normal;Female;Sports and travel;$80.97;0.78;0.07;680148.0;28/01/2019;13:05:00;Cash;4.761.904.762;0.07;0.88
782-95-9291;A;Yangon;Member;Male;Food and beverages;$92.29;0.44;0.51;4845225.0;20/02/2019;15:55:00;Credit card;4.761.904.762;0.51;0.83
279-74-2924;B;Mandalay;Member;Male;Electronic accessories;$72.17;0.0;0.08;757785.0;04/01/2019;19:40:00;Cash;4.761.904.762;0.08;0.35
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle;$50.28;0.44;0.0;263.97;07/03/2019;13:58:00;Ewallet;4.761.904.762;0.0;0.95
743-04-1105;B;Mandalay;Member;Male;Health and beauty;$97.22;0.89;0.1;918729.0;30/03/2019;14:43:00;Ewallet;4.761.904.762;0.1;0.33
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;$93.39;0.56;0.06;588357.0;27/03/2019;19:18:00;Ewallet;4.761.904.762;0.06;1.0
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages;$43.18;0.78;0.04;362712.0;19/01/2019;19:39:00;Credit card;4.761.904.762;0.04;0.72
275-28-0149;A;Yangon;Normal;Male;Sports and travel;$63.69;0.0;0.07;668745.0;25/02/2019;16:21:00;Cash;4.761.904.762;0.07;0.33
101-17-6199;A;Yangon;Normal;Male;Food and beverages;$45.79;0.67;0.36;3365565.0;13/03/2019;19:44:00;Credit card;4.761.904.762;0.36;0.5
423-80-0988;C;Naypyitaw;Normal;Male;Sports and travel;$76.40;0.11;0.0;160.44;30/01/2019;19:42:00;Ewallet;4.761.904.762;0.0;0.42
548-46-9322;B;Mandalay;Normal;Male;Food and beverages;$39.90;1.0;0.0;418.95;20/02/2019;15:24:00;Credit card;4.761.904.762;0.0;0.32
505-02-0892;B;Mandalay;Member;Male;Health and beauty;$42.57;0.78;0.04;357588.0;25/02/2019;14:12:00;Ewallet;4.761.904.762;0.04;0.27
234-65-2137;C;Naypyitaw;Normal;Male;Home and lifestyle;$95.58;1.0;0.0;1003.59;16/01/2019;13:32:00;Cash;4.761.904.762;0.0;0.13
687-47-8271;A;Yangon;Normal;Male;Fashion accessories;$98.98;1.0;0.0;1039.29;08/02/2019;16:20:00;Credit card;4.761.904.762;0.0;0.78
796-32-9050;A;Yangon;Normal;Male;Food and beverages;$51.28;0.56;0.03;323064.0;19/01/2019;16:31:00;Cash;4.761.904.762;0.03;0.42
